total_daily_units,month,monthly_units,monthly_bill
1.04,9,31.2,198.28
10.72,1,321.6,1966.1
8.95,11,268.5,1530.5
10.62,1,318.6,1940.6
17.79,5,533.7,3768.95
10.44,6,313.2,1894.7
6.99,3,209.7,1076.22
2.9,6,87,394.4
10.52,8,315.6,1915.1
12.3,10,369,2369
2.37,12,71.1,335.57
13.47,3,404.1,2667.35
3.56,1,106.8,475.14
7.36,5,220.8,1160.58
11.33,10,339.9,2121.65
3.4,10,102,452.1
10.07,10,302.1,1800.35
11.21,9,336.3,2091.05
4.99,11,149.7,681.06
11.73,10,351.9,2223.65
10.62,6,318.6,1940.6
11.91,6,357.3,2269.55
12.6,2,378,2445.5
2.34,3,70.2,332.24
9.62,6,288.6,1691.3
4.87,3,146.1,663.78
14.12,12,423.6,2833.1
8.3,12,249,1374.9
9.56,12,286.8,1676.9
9.51,8,285.3,1664.9
2.9,11,87,394.4
15.97,5,479.1,3304.85
11.51,2,345.3,2167.55
3.84,10,115.2,515.46
3.83,7,114.9,514.02
10.86,4,325.8,2001.8
2.01,10,60.3,295.61
11.9,2,357,2267
2.29,7,68.7,326.69
2.23,2,66.9,320.03
11.46,2,343.8,2154.8
2.64,6,79.2,365.54
11.89,1,356.7,2264.45
2.04,12,61.2,298.94
8.46,2,253.8,1412.9
7.93,12,237.9,1290.54
8.91,9,267.3,1520.9
1.02,7,30.6,196.39
9.04,8,271.2,1552.1
12.21,10,366.3,2346.05
2.11,8,63.3,306.71
3.3,4,99,438.8
7.5,7,225,1192.5
5,12,150,682.5
2.36,4,70.8,334.46
2.71,9,81.3,373.31
2.43,6,72.9,342.23
11.92,7,357.6,2272.1
5.56,8,166.8,790.02
6.79,9,203.7,1030.62
1.87,6,56.1,280.07
7.9,8,237,1283.7
8.54,6,256.2,1432.1
10.17,1,305.1,1825.85
14.73,4,441.9,2988.65
6.84,7,205.2,1042.02
7.64,9,229.2,1224.42
9.87,7,296.1,1751.3
2.91,7,87.3,395.51
5.93,10,177.9,861.06
4.68,12,140.4,636.42
1.56,2,46.8,247.42
8.8,7,264,1494.5
2.72,11,81.6,374.42
9.3,10,279,1614.5
6.11,6,183.3,895.62
9.68,3,290.4,1705.7
5.02,6,150.6,686.34
5.58,4,167.4,793.86
2.03,3,60.9,297.83
9.57,1,287.1,1679.3
5.14,3,154.2,709.38
10.11,6,303.3,1810.55
8.73,9,261.9,1477.7
10.41,9,312.3,1887.05
5.95,10,178.5,864.9
3.89,11,116.7,522.66
7.34,3,220.2,1156.02
12.09,5,362.7,2315.45
12.73,5,381.9,2478.65
6.71,4,201.3,1012.38
4.83,11,144.9,658.02
10.33,1,309.9,1866.65
12.22,9,366.6,2348.6
3.76,12,112.8,503.94
9.03,12,270.9,1549.7
5.27,5,158.1,734.34
3.33,3,99.9,442.13
1.66,9,49.8,256.87
8.29,7,248.7,1372.62
13.55,5,406.5,2687.75
6.93,2,207.9,1062.54
2.47,10,74.1,346.67
6.53,9,195.9,976.26
4.18,12,125.4,564.42
3.9,2,117,524.1
1.84,9,55.2,276.74
9.13,9,273.9,1573.7
1.08,6,32.4,202.06
4.94,7,148.2,673.86
5.75,5,172.5,826.5
8.52,10,255.6,1427.3
9.54,9,286.2,1672.1
1.19,12,35.7,212.46
9.13,2,273.9,1573.7
3.49,7,104.7,465.06
8.58,4,257.4,1441.7
4.53,1,135.9,614.82
6.27,3,188.1,926.34
10.19,1,305.7,1830.95
2.48,12,74.4,347.78
12.56,11,376.8,2435.3
2.33,10,69.9,331.13
7.08,12,212.4,1096.74
6.96,12,208.8,1069.38
8.25,11,247.5,1363.5
1.79,1,53.7,271.19
13.65,12,409.5,2713.25
5.15,4,154.5,711.3
5.25,11,157.5,730.5
6.11,1,183.3,895.62
16.33,3,489.9,3396.65
3.25,10,97.5,433.25
11.96,2,358.8,2282.3
4.72,11,141.6,642.18
2.66,9,79.8,367.76
7.81,2,234.3,1263.18
3.25,12,97.5,433.25
8.5,9,255,1422.5
9.49,1,284.7,1660.1
2.69,10,80.7,371.09
5.17,8,155.1,715.14
1.5,6,45,241.75
16.15,5,484.5,3350.75
4.67,1,140.1,634.98
10.38,9,311.4,1879.4
5.96,8,178.8,866.82
6.3,6,189,932.1
9.65,3,289.5,1698.5
2.44,8,73.2,343.34
4.65,1,139.5,632.1
8.88,9,266.4,1513.7
5.89,1,176.7,853.38
4.7,1,141,639.3
10.97,7,329.1,2029.85
8.92,11,267.6,1523.3
7.69,8,230.7,1235.82
13.5,3,405,2675
6.29,9,188.7,930.18
10.77,12,323.1,1978.85
9.87,2,296.1,1751.3
7.89,11,236.7,1281.42
2.26,4,67.8,323.36
11.5,9,345,2165
6.86,9,205.8,1046.58
4.52,10,135.6,613.38
1.65,2,49.5,255.92
3.26,4,97.8,434.36
7.74,10,232.2,1247.22
3.29,5,98.7,437.69
2.75,4,82.5,377.75
10.5,7,315,1910
9.41,5,282.3,1640.9
10.08,12,302.4,1802.9
10.77,7,323.1,1978.85
6.38,1,191.4,947.46
6.71,2,201.3,1012.38
10.66,7,319.8,1950.8
7.31,3,219.3,1149.18
2.02,7,60.6,296.72
3.86,2,115.8,518.34
9.51,10,285.3,1664.9
13.08,2,392.4,2567.9
1.85,12,55.5,277.85
7.7,6,231,1238.1
4.29,1,128.7,580.26
5.99,1,179.7,872.58
3.18,6,95.4,425.48
6.57,8,197.1,983.94
3.72,1,111.6,498.18
8.13,7,243.9,1336.14
9.06,11,271.8,1556.9
10.05,11,301.5,1795.25
16.45,4,493.5,3427.25
10.54,6,316.2,1920.2
2.15,6,64.5,311.15
12.07,6,362.1,2310.35
2.49,9,74.7,348.89
5.52,6,165.6,782.34
3.69,10,110.7,493.86
4.82,5,144.6,656.58
9.94,11,298.2,1768.1
11.86,5,355.8,2256.8
4.48,1,134.4,607.62
6.01,7,180.3,876.42
13.96,5,418.8,2792.3
1.16,10,34.8,209.62
10.15,10,304.5,1820.75
1.47,9,44.1,238.91
1.79,11,53.7,271.19
7.01,2,210.3,1080.78
8.68,11,260.4,1465.7
4.45,5,133.5,603.3
1.91,1,57.3,284.51
9.47,10,284.1,1655.3
11.92,10,357.6,2272.1
7.78,5,233.4,1256.34
9.16,12,274.8,1580.9
7.49,8,224.7,1190.22
8.5,8,255,1422.5
6.52,7,195.6,974.34
10.58,12,317.4,1930.4
5.26,5,157.8,732.42
2.9,3,87,394.4
9.32,11,279.6,1619.3
7.69,11,230.7,1235.82
5.69,10,170.7,814.98
2.27,4,68.1,324.47
3.43,6,102.9,456.42
5.67,2,170.1,811.14
10.05,10,301.5,1795.25
13.2,5,396,2598.5
8.95,5,268.5,1530.5
12.2,5,366,2343.5
1.53,12,45.9,244.58
5.45,8,163.5,768.9
8.93,10,267.9,1525.7
8.66,6,259.8,1460.9
6.15,1,184.5,903.3
5.28,7,158.4,736.26
5.77,5,173.1,830.34
1.87,3,56.1,280.07
9.47,5,284.1,1655.3
4.13,10,123.9,557.22
10.49,10,314.7,1907.45
3.42,9,102.6,454.98
12.25,12,367.5,2356.25
7.38,8,221.4,1165.14
4.26,11,127.8,575.94
8.06,8,241.8,1320.18
5.35,9,160.5,749.7
3.62,12,108.6,483.78
7.21,6,216.3,1126.38
1.37,5,41.1,229.47
2.11,11,63.3,306.71
5.17,3,155.1,715.14
13.23,12,396.9,2606.15
7.01,6,210.3,1080.78
12.2,5,366,2343.5
8.98,6,269.4,1537.7
13.35,3,400.5,2636.75
4.34,10,130.2,587.46
11.25,6,337.5,2101.25
10.13,7,303.9,1815.65
10.15,8,304.5,1820.75
7.99,9,239.7,1304.22
1.8,12,54,272.3
5.41,5,162.3,761.22
9.01,2,270.3,1544.9
8.87,6,266.1,1511.3
12.77,2,383.1,2488.85
1.9,8,57,283.4
9.86,1,295.8,1748.9
7.01,10,210.3,1080.78
10.19,3,305.7,1830.95
11.24,3,337.2,2098.7
1.6,2,48,251.2
5.68,7,170.4,813.06
8.56,7,256.8,1436.9
9.76,4,292.8,1724.9
6.79,6,203.7,1030.62
10.2,12,306,1833.5
11.82,1,354.6,2246.6
6.24,11,187.2,920.58
5.13,4,153.9,707.46
7.76,1,232.8,1251.78
10.4,7,312,1884.5
13.44,3,403.2,2659.7
6.8,8,204,1032.9
13.54,4,406.2,2685.2
12,8,360,2292.5
6.92,6,207.6,1060.26
6.9,7,207,1055.7
8.89,2,266.7,1516.1
4.65,4,139.5,632.1
13.08,12,392.4,2567.9
11.98,1,359.4,2287.4
3.11,2,93.3,417.71
11.97,1,359.1,2284.85
3.39,2,101.7,450.66
11.77,1,353.1,2233.85
3.92,7,117.6,526.98
7.39,7,221.7,1167.42
15.02,3,450.6,3062.6
12.84,3,385.2,2506.7
1.81,6,54.3,273.41
17.09,3,512.7,3590.45
2.14,5,64.2,310.04
4.3,9,129,581.7
9.97,10,299.1,1775.3
2.58,8,77.4,358.88
5.2,11,156,720.9
11.57,5,347.1,2182.85
1.19,10,35.7,212.46
7.15,4,214.5,1112.7
4.97,1,149.1,678.18
10.9,4,327,2012
1.99,3,59.7,293.39
3.25,1,97.5,433.25
4.67,12,140.1,634.98
7.71,7,231.3,1240.38
2.1,11,63,305.6
10.33,9,309.9,1866.65
10.21,11,306.3,1836.05
9.32,7,279.6,1619.3
11.29,5,338.7,2111.45
3.05,2,91.5,411.05
12.62,12,378.6,2450.6
12.64,3,379.2,2455.7
2.24,3,67.2,321.14
10.74,12,322.2,1971.2
13.54,3,406.2,2685.2
7.54,7,226.2,1201.62
7.15,3,214.5,1112.7
14.53,5,435.9,2937.65
3.79,3,113.7,508.26
11.19,6,335.7,2085.95
9.17,5,275.1,1583.3
12.9,5,387,2522
4.3,6,129,581.7
6.64,6,199.2,997.38
1.11,6,33.3,204.89
6.61,10,198.3,991.62
4.61,1,138.3,626.34
12.39,5,371.7,2391.95
4.05,11,121.5,545.7
8.93,7,267.9,1525.7
10.39,6,311.7,1881.95
6.26,11,187.8,924.42
6.53,3,195.9,976.26
9.25,8,277.5,1602.5
9.95,2,298.5,1770.5
1.29,9,38.7,221.91
11.37,7,341.1,2131.85
4.96,9,148.8,676.74
11.97,2,359.1,2284.85
12.49,1,374.7,2417.45
15.74,5,472.2,3246.2
2.42,7,72.6,341.12
7.65,7,229.5,1226.7
5.83,10,174.9,841.86
10.93,2,327.9,2019.65
10.3,4,309,1859
2.04,11,61.2,298.94
6.13,7,183.9,899.46
9.38,9,281.4,1633.7
7,6,210,1078.5
12.44,3,373.2,2404.7
3.27,12,98.1,435.47
5.05,11,151.5,692.1
1.14,6,34.2,207.73
9.93,1,297.9,1765.7
2.3,3,69,327.8
5.29,5,158.7,738.18
10.66,11,319.8,1950.8
9.21,7,276.3,1592.9
8.67,8,260.1,1463.3
4.18,9,125.4,564.42
2.76,5,82.8,378.86
7.42,12,222.6,1174.26
10.1,6,303,1808
15.67,5,470.1,3228.35
2.52,6,75.6,352.22
12.6,6,378,2445.5
6.25,9,187.5,922.5
1.86,8,55.8,278.96
8.46,12,253.8,1412.9
2.53,10,75.9,353.33
6.25,2,187.5,922.5
9.1,1,273,1566.5
7.4,3,222,1169.7
4.65,6,139.5,632.1
10.94,2,328.2,2022.2
5.63,6,168.9,803.46
9.33,11,279.9,1621.7
4.49,12,134.7,609.06
5.52,11,165.6,782.34
2,9,60,294.5
6.67,8,200.1,1003.26
13.98,4,419.4,2797.4
3.01,11,90.3,406.61
5.69,7,170.7,814.98
5.86,8,175.8,847.62
8.08,11,242.4,1324.74
10.94,2,328.2,2022.2
15.34,4,460.2,3144.2
6.47,9,194.1,964.74
2.16,2,64.8,312.26
10.69,1,320.7,1958.45
3.36,12,100.8,446.34
16.54,5,496.2,3450.2
6.97,9,209.1,1071.66
9.3,11,279,1614.5
2.63,2,78.9,364.43
10.31,6,309.3,1861.55
9.74,2,292.2,1720.1
2,12,60,294.5
8.21,7,246.3,1354.38
4.23,8,126.9,571.62
9.65,4,289.5,1698.5
15.49,3,464.7,3182.45
13.1,3,393,2573
8.71,9,261.3,1472.9
9.5,6,285,1662.5
7.83,5,234.9,1267.74
11.87,11,356.1,2259.35
13.08,1,392.4,2567.9
8.42,11,252.6,1403.3
1.73,12,51.9,264.53
2.63,7,78.9,364.43
5.3,5,159,740.1
2.51,4,75.3,351.11
3.37,10,101.1,447.78
8.44,5,253.2,1408.1
12.89,12,386.7,2519.45
7.57,11,227.1,1208.46
7.62,8,228.6,1219.86
11.8,9,354,2241.5
6.8,4,204,1032.9
8.7,11,261,1470.5
8.34,4,250.2,1384.1
6.54,9,196.2,978.18
11.07,3,332.1,2055.35
8.66,9,259.8,1460.9
15.1,3,453,3083
14.89,5,446.7,3029.45
2.64,11,79.2,365.54
10.51,2,315.3,1912.55
9.57,2,287.1,1679.3
7.7,9,231,1238.1
7.24,10,217.2,1133.22
11.02,4,330.6,2042.6
10.33,10,309.9,1866.65
4.33,12,129.9,586.02
7.85,12,235.5,1272.3
14.22,4,426.6,2858.6
13.04,4,391.2,2557.7
7.15,9,214.5,1112.7
8.48,10,254.4,1417.7
2.21,8,66.3,317.81
6.27,5,188.1,926.34
2.39,11,71.7,337.79
7.7,2,231,1238.1
1.28,11,38.4,220.96
6.84,10,205.2,1042.02
9.42,3,282.6,1643.3
7.91,11,237.3,1285.98
13.1,3,393,2573
3.2,11,96,427.7
9.28,12,278.4,1609.7
11.18,7,335.4,2083.4
4.05,11,121.5,545.7
6.38,12,191.4,947.46
9.24,4,277.2,1600.1
1.46,11,43.8,237.97
6.37,11,191.1,945.54
12.87,12,386.1,2514.35
11.59,8,347.7,2187.95
8.89,11,266.7,1516.1
6.45,4,193.5,960.9
9.61,12,288.3,1688.9
2.53,1,75.9,353.33
1.49,5,44.7,240.81
11.81,12,354.3,2244.05
2.8,10,84,383.3
2.21,11,66.3,317.81
4.56,6,136.8,619.14
12.34,2,370.2,2379.2
6.64,10,199.2,997.38
9.57,9,287.1,1679.3
1.14,8,34.2,207.73
12.18,4,365.4,2338.4
13.37,3,401.1,2641.85
6.17,6,185.1,907.14
6.51,7,195.3,972.42
3.84,11,115.2,515.46
10.77,11,323.1,1978.85
6.69,1,200.7,1007.82
1.85,3,55.5,277.85
7.46,7,223.8,1183.38
4.07,11,122.1,548.58
10.29,9,308.7,1856.45
5.14,3,154.2,709.38
6.12,9,183.6,897.54
2.51,2,75.3,351.11
5.97,4,179.1,868.74
8.83,9,264.9,1501.7
4.64,7,139.2,630.66
9.43,1,282.9,1645.7
9.18,8,275.4,1585.7
3.27,8,98.1,435.47
11.45,10,343.5,2152.25
13.88,3,416.4,2771.9
2.23,6,66.9,320.03
6.09,3,182.7,891.78
11.75,4,352.5,2228.75
9.66,5,289.8,1700.9
9.08,2,272.4,1561.7
9.71,1,291.3,1712.9
11.27,4,338.1,2106.35
4.54,2,136.2,616.26
9.42,1,282.6,1643.3
13.33,4,399.9,2631.65
4.42,12,132.6,598.98
4.65,1,139.5,632.1
7.33,8,219.9,1153.74
1.31,11,39.3,223.79
2.16,10,64.8,312.26
5.62,5,168.6,801.54
10.9,7,327,2012
9.15,11,274.5,1578.5
10.01,5,300.3,1785.05
6.48,1,194.4,966.66
16.5,4,495,3440
7.23,9,216.9,1130.94
3.15,2,94.5,422.15
7.79,7,233.7,1258.62
1.8,5,54,272.3
9.18,12,275.4,1585.7
10.98,8,329.4,2032.4
3.2,2,96,427.7
2.06,1,61.8,301.16
9.98,7,299.4,1777.7
8.48,6,254.4,1417.7
12.03,10,360.9,2300.15
1.26,1,37.8,219.07
10.61,3,318.3,1938.05
3.29,6,98.7,437.69
7.89,10,236.7,1281.42
6.95,10,208.5,1067.1
9.82,9,294.6,1739.3
13.68,5,410.4,2720.9
11.99,8,359.7,2289.95
14.63,3,438.9,2963.15
6.69,2,200.7,1007.82
2.02,10,60.6,296.72
7.76,11,232.8,1251.78
6.85,2,205.5,1044.3
4.41,8,132.3,597.54
7.53,6,225.9,1199.34
10.55,2,316.5,1922.75
2.71,4,81.3,373.31
10.72,12,321.6,1966.1
10.82,3,324.6,1991.6
1.84,7,55.2,276.74
5.12,8,153.6,705.54
10.29,9,308.7,1856.45
3.19,9,95.7,426.59
4.57,7,137.1,620.58
3.89,12,116.7,522.66
11.21,11,336.3,2091.05
4.59,12,137.7,623.46
6.22,4,186.6,916.74
2.08,2,62.4,303.38
9.7,9,291,1710.5
3.08,1,92.4,414.38
7.59,12,227.7,1213.02
3.93,11,117.9,528.42
2.52,5,75.6,352.22
5.94,6,178.2,862.98
10.56,1,316.8,1925.3
1.2,2,36,213.4
4.14,8,124.2,558.66
8.37,10,251.1,1391.3
10.33,9,309.9,1866.65
5.14,1,154.2,709.38
2.43,10,72.9,342.23
2.88,8,86.4,392.18
3.76,10,112.8,503.94
5.47,12,164.1,772.74
14.88,5,446.4,3026.9
7.14,6,214.2,1110.42
7.88,3,236.4,1279.14
7.88,6,236.4,1279.14
8.1,7,243,1329.3
5.29,8,158.7,738.18
11.23,8,336.9,2096.15
4.22,6,126.6,570.18
10.25,10,307.5,1846.25
6.96,7,208.8,1069.38
4.38,9,131.4,593.22
2,11,60,294.5
10.57,4,317.1,1927.85
11.9,2,357,2267
12.2,1,366,2343.5
5.64,2,169.2,805.38
3.97,7,119.1,534.18
9.99,12,299.7,1780.1
9.6,8,288,1686.5
4.7,9,141,639.3
1.68,10,50.4,258.98
8.93,7,267.9,1525.7
15.51,4,465.3,3187.55
7.9,10,237,1283.7
6.85,9,205.5,1044.3
1.6,5,48,251.2
2.43,3,72.9,342.23
5.14,11,154.2,709.38
8.48,7,254.4,1417.7
9.47,12,284.1,1655.3
3.2,1,96,427.7
4.88,8,146.4,665.22
4.82,6,144.6,656.58
4.58,3,137.4,622.02
15.13,3,453.9,3090.65
9.39,4,281.7,1636.1
8.03,12,240.9,1313.34
6.15,2,184.5,903.3
8.31,11,249.3,1377.18
9.53,9,285.9,1669.7
9.25,11,277.5,1602.5
1.91,11,57.3,284.51
8.87,12,266.1,1511.3
3.26,11,97.8,434.36
9.04,2,271.2,1552.1
9.47,4,284.1,1655.3
5.38,4,161.4,755.46
5.08,6,152.4,697.86
12.44,2,373.2,2404.7
2.95,9,88.5,399.95
13.77,3,413.1,2743.85
13.14,3,394.2,2583.2
11.1,10,333,2063
4.02,4,120.6,541.38
2.38,1,71.4,336.68
11.1,6,333,2063
5.96,5,178.8,866.82
7.14,2,214.2,1110.42
6.56,5,196.8,982.02
4.96,9,148.8,676.74
4.57,7,137.1,620.58
14.02,12,420.6,2807.6
6.91,1,207.3,1057.98
11.18,7,335.4,2083.4
5.39,10,161.7,757.38
15.94,3,478.2,3297.2
3.93,11,117.9,528.42
3.1,7,93,416.6
4.95,4,148.5,675.3
2.69,8,80.7,371.09
12.4,3,372,2394.5
7.7,9,231,1238.1
1.43,8,42.9,235.13
11.17,12,335.1,2080.85
1.38,7,41.4,230.41
12.56,11,376.8,2435.3
14.3,5,429,2879
1.98,8,59.4,292.28
6.66,4,199.8,1001.22
2.1,5,63,305.6
3.84,3,115.2,515.46
8.7,5,261,1470.5
9.35,10,280.5,1626.5
16.59,3,497.7,3462.95
7.12,5,213.6,1105.86
3.3,11,99,438.8
9.56,3,286.8,1676.9
10.03,10,300.9,1790.15
5.67,3,170.1,811.14
6.94,10,208.2,1064.82
5.07,9,152.1,695.94
4.17,9,125.1,562.98
6.19,7,185.7,910.98
8.69,7,260.7,1468.1
12.64,4,379.2,2455.7
10.52,4,315.6,1915.1
10.2,5,306,1833.5
16.71,5,501.3,3493.55
2.56,11,76.8,356.66
4.42,4,132.6,598.98
9.96,5,298.8,1772.9
11.83,11,354.9,2249.15
7.79,7,233.7,1258.62
7.35,6,220.5,1158.3
2.03,2,60.9,297.83
11.12,3,333.6,2068.1
10.99,11,329.7,2034.95
6.51,1,195.3,972.42
10.89,6,326.7,2009.45
6.66,12,199.8,1001.22
10.87,2,326.1,2004.35
6.43,10,192.9,957.06
9.58,1,287.4,1681.7
7.96,9,238.8,1297.38
8.02,5,240.6,1311.06
11.45,2,343.5,2152.25
3.31,8,99.3,439.91
7.21,6,216.3,1126.38
11.54,2,346.2,2175.2
4.16,3,124.8,561.54
1.54,8,46.2,245.53
9.78,9,293.4,1729.7
8.5,2,255,1422.5
3.49,12,104.7,465.06
16.57,5,497.1,3457.85
2.17,10,65.1,313.37
5,1,150,682.5
10.66,7,319.8,1950.8
13.26,12,397.8,2613.8
8.1,6,243,1329.3
3.1,7,93,416.6
11.6,3,348,2190.5
11.22,9,336.6,2093.6
5.21,3,156.3,722.82
7.14,7,214.2,1110.42
8.22,12,246.6,1356.66
10.57,4,317.1,1927.85
9.32,9,279.6,1619.3
7.66,4,229.8,1228.98
7.68,6,230.4,1233.54
3.81,7,114.3,511.14
9.91,4,297.3,1760.9
4.39,7,131.7,594.66
4.38,3,131.4,593.22
8.44,3,253.2,1408.1
1.51,1,45.3,242.69
6.73,8,201.9,1016.94
1.45,9,43.5,237.03
5.1,9,153,701.7
7.28,12,218.4,1142.34
6.68,2,200.4,1005.54
4.96,11,148.8,676.74
4.48,4,134.4,607.62
7.23,7,216.9,1130.94
9.5,4,285,1662.5
2.65,6,79.5,366.65
8.11,6,243.3,1331.58
7.3,10,219,1146.9
6.05,6,181.5,884.1
9.04,3,271.2,1552.1
11.39,8,341.7,2136.95
5.91,12,177.3,857.22
11.53,8,345.9,2172.65
8.97,9,269.1,1535.3
10.79,8,323.7,1983.95
9.02,8,270.6,1547.3
8.04,5,241.2,1315.62
1.93,8,57.9,286.73
10.66,6,319.8,1950.8
9.86,8,295.8,1748.9
11.99,10,359.7,2289.95
3.88,8,116.4,521.22
10.11,10,303.3,1810.55
10.98,11,329.4,2032.4
13.01,12,390.3,2550.05
2.09,1,62.7,304.49
4.58,10,137.4,622.02
12.02,2,360.6,2297.6
10.36,9,310.8,1874.3
2.91,5,87.3,395.51
8.65,11,259.5,1458.5
6.19,11,185.7,910.98
1.37,12,41.1,229.47
9.18,1,275.4,1585.7
5.28,3,158.4,736.26
12.65,11,379.5,2458.25
8.44,8,253.2,1408.1
3,1,90,405.5
1.85,4,55.5,277.85
13.36,2,400.8,2639.3
10.76,3,322.8,1976.3
3.06,9,91.8,412.16
2.97,9,89.1,402.17
9.22,9,276.6,1595.3
9.65,6,289.5,1698.5
6.76,4,202.8,1023.78
10.85,5,325.5,1999.25
10.04,2,301.2,1792.7
7,4,210,1078.5
6.16,2,184.8,905.22
13.2,4,396,2598.5
11.56,2,346.8,2180.3
8.03,11,240.9,1313.34
9.65,8,289.5,1698.5
13.17,3,395.1,2590.85
1.48,12,44.4,239.86
3.21,7,96.3,428.81
2.65,7,79.5,366.65
15.99,3,479.7,3309.95
7.4,3,222,1169.7
3.09,9,92.7,415.49
8.58,11,257.4,1441.7
1.67,1,50.1,257.87
9.13,6,273.9,1573.7
11.64,8,349.2,2200.7
4.33,6,129.9,586.02
1.62,1,48.6,253.09
2.64,5,79.2,365.54
11.27,6,338.1,2106.35
9.84,2,295.2,1744.1
4.43,8,132.9,600.42
8.5,2,255,1422.5
12.12,2,363.6,2323.1
2.37,11,71.1,335.57
9,6,270,1542.5
6.45,2,193.5,960.9
3.21,11,96.3,428.81
6.42,9,192.6,955.14
9.75,2,292.5,1722.5
10.23,6,306.9,1841.15
8.52,7,255.6,1427.3
15.35,3,460.5,3146.75
3.52,12,105.6,469.38
11.11,9,333.3,2065.55
4.02,3,120.6,541.38
8.79,10,263.7,1492.1
8.69,9,260.7,1468.1
7.32,1,219.6,1151.46
4.61,9,138.3,626.34
8.63,11,258.9,1453.7
4.79,11,143.7,652.26
13.31,5,399.3,2626.55
9.82,9,294.6,1739.3
2.84,5,85.2,387.74
2.88,3,86.4,392.18
8.46,6,253.8,1412.9
6.97,8,209.1,1071.66
5.28,11,158.4,736.26
8.31,3,249.3,1377.18
5.68,6,170.4,813.06
6.08,5,182.4,889.86
1.55,5,46.5,246.47
14.6,5,438,2955.5
8.27,7,248.1,1368.06
6.64,3,199.2,997.38
7.26,3,217.8,1137.78
12.49,2,374.7,2417.45
9.95,11,298.5,1770.5
3.87,12,116.1,519.78
4,12,120,538.5
1.86,3,55.8,278.96
3.71,2,111.3,496.74
8.46,4,253.8,1412.9
5.34,10,160.2,747.78
4.72,6,141.6,642.18
11.2,1,336,2088.5
7.14,4,214.2,1110.42
2.46,7,73.8,345.56
2.52,1,75.6,352.22
2.57,5,77.1,357.77
5.18,2,155.4,717.06
1.45,1,43.5,237.03
7.22,8,216.6,1128.66
9.51,1,285.3,1664.9
6.72,1,201.6,1014.66
6.2,9,186,912.9
9.05,2,271.5,1554.5
12.56,1,376.8,2435.3
6.56,8,196.8,982.02
11.98,7,359.4,2287.4
9.01,7,270.3,1544.9
11.5,11,345,2165
4.09,7,122.7,551.46
13.24,12,397.2,2608.7
10.61,2,318.3,1938.05
4.21,3,126.3,568.74
9.25,2,277.5,1602.5
11.7,11,351,2216
3.9,5,117,524.1
6.01,10,180.3,876.42
2.19,1,65.7,315.59
7.73,6,231.9,1244.94
11.57,10,347.1,2182.85
1.19,8,35.7,212.46
7.7,1,231,1238.1
11.45,2,343.5,2152.25
6.84,5,205.2,1042.02
9.98,11,299.4,1777.7
5.26,3,157.8,732.42
12.28,4,368.4,2363.9
6.1,12,183,893.7
1.56,4,46.8,247.42
10.43,12,312.9,1892.15
2.75,10,82.5,377.75
4.14,1,124.2,558.66
15.97,4,479.1,3304.85
5.78,8,173.4,832.26
8.47,12,254.1,1415.3
2.55,7,76.5,355.55
2.52,7,75.6,352.22
11.12,2,333.6,2068.1
1.5,1,45,241.75
1.15,11,34.5,208.68
9.65,8,289.5,1698.5
8.82,11,264.6,1499.3
6.42,6,192.6,955.14
3.4,11,102,452.1
10.38,7,311.4,1879.4
3.37,10,101.1,447.78
7.49,10,224.7,1190.22
6.72,4,201.6,1014.66
